0,1,2,3,4,5,6
@realDonaldTrump,1.26188E+18,Twitter for iPhone,5/17/2020 4:58,7296,35148,I will be interviewed by @MariaBartiromo at 10:00 A.M. on @FoxNews. Thank you!
@realDonaldTrump,1.26179E+18,Twitter for iPhone,5/16/2020 22:58,19452,88313,".....are therefore given massive advantages over The United States, and everyone else? Prior to the Plague floating… https://t.co/7uxWEFYtLc"
@realDonaldTrump,1.26179E+18,Twitter for iPhone,5/16/2020 22:58,29451,119292,"Why is it that China, for decades, and with a population much bigger than ours, is paying a tiny fraction of $’s to… https://t.co/zLFprwqFUm"
@realDonaldTrump,1.26179E+18,Twitter for iPhone,5/16/2020 22:33,25088,112797,Doing a GREAT job! https://t.co/OYRpiYiXpp
@realDonaldTrump,1.26179E+18,Twitter for iPhone,5/16/2020 22:32,9488,38280,Thank you! https://t.co/oARCqHpblU
@realDonaldTrump,1.26179E+18,Twitter for iPhone,5/16/2020 22:31,7695,0,RT @madisongesiotto: Unreal! (But not surprising)
@realDonaldTrump,1.26175E+18,Twitter for iPhone,5/16/2020 20:14,68275,268695,OBAMAGATE!
@realDonaldTrump,1.26175E+18,Twitter for iPhone,5/16/2020 19:57,60455,189845,https://t.co/L3sxMC9fXm
@realDonaldTrump,1.26174E+18,Twitter for iPhone,5/16/2020 19:25,16459,70264,https://t.co/p2NN08cDgl
@realDonaldTrump,1.26169E+18,Twitter for iPhone,5/16/2020 15:51,31483,84060,"Mitch, I love you, but this is 100% true. Time is running out. Get tough and move quickly, or it will be too late.… https://t.co/PmTWufOEDq"
@realDonaldTrump,1.26168E+18,Twitter for iPhone,5/16/2020 15:36,20669,63259,"This is true. I say it all the time. The Republicans must play by the same rules, or die! Wow Mollie, you are good. https://t.co/CThwiLRn9F"
@realDonaldTrump,1.26168E+18,Twitter for iPhone,5/16/2020 15:32,10861,34578,"Really sad, but even “sadder”, watch flunky @Lawrence CRY when I whipped his mind &amp; he was FORCED to apologize to m… https://t.co/0nw3ocJxEz"
@realDonaldTrump,1.26168E+18,Twitter for iPhone,5/16/2020 15:10,13815,0,"RT @seanmdav: ""The Mueller probe was launched not to find wrongdoing from the Trump administration, but to cover up wrongdoing by Mueller's…"
@realDonaldTrump,1.26168E+18,Twitter for iPhone,5/16/2020 15:10,9247,0,"RT @davidharsanyi: If FBI agents will fabricate evidence against the opposition party, and use that evidence to attain warrants from an obl…"
@realDonaldTrump,1.26168E+18,Twitter for iPhone,5/16/2020 15:09,12756,41612,Amazing! https://t.co/TAfFJ1rWWN
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:08,6801,0,"RT @MZHemingway: Of media who peddled Russia collusion hoax and are covering up truth about it, McConnell said: ""you guys are so good at yo…"
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:07,7200,0,"RT @MZHemingway: I assume that our elites in media and government pretended to fall for the Russia hoax, rather than actually fell for it,…"
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:06,17640,0,"RT @MZHemingway: ""The fact is that we already have more compelling evidence that the Obama administration engaged in misconduct than we eve…"
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:06,14848,0,RT @MZHemingway: WATCH: reporters pretend not to understand Obama admin scandal of leaking/spying/lying about Russia collusion. As truth co…
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:03,11062,37313,One of a kind! https://t.co/k2zvDsELo5
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 15:00,29849,88383,"I’m not running against Sleepy Joe Biden. He is not even a factor. Never was, remember 1% Joe? I’m running against… https://t.co/eZrIPjmZag"
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 14:41,8908,32066,America is proud of Ron Johnson. He never gives up! https://t.co/tfWXWRuy8q
@realDonaldTrump,1.26167E+18,Twitter for iPhone,5/16/2020 14:37,9482,53140,Is the NFL watching? https://t.co/gIJSJ6QE7L
@realDonaldTrump,1.26165E+18,Twitter for iPhone,5/16/2020 13:38,14246,0,"RT @JonathanTurley: Michael Flynn was a useful tool for everyone and everything but justice: Mueller, the media, even the court. What is le…"
@realDonaldTrump,1.26165E+18,Twitter for iPhone,5/16/2020 13:33,25976,91503,People can’t get enough of this. Great people! https://t.co/b4HM0C298h
@realDonaldTrump,1.26165E+18,Twitter for iPhone,5/16/2020 13:30,25157,123422,"We’ve done a GREAT job on Covid response, making all Governors look good, some fantastic (and that’s OK), but the L… https://t.co/SAZu1TthCQ"
@realDonaldTrump,1.26165E+18,Twitter for iPhone,5/16/2020 13:17,39259,0,RT @realDonaldTrump: Such a wonderful reception yesterday in Pennsylvania. Thank you! #MAGA https://t.co/lNQMxRqDiA
@realDonaldTrump,1.26165E+18,Twitter for iPhone,5/16/2020 13:17,78543,0,RT @realDonaldTrump: I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and…
