0,1,2,3,4,5,6
@Queen_Europe,1.26193E+18,Twitter for iPhone,5/17/2020 7:59,19,0,RT @SW1_confused: The team that brought you Stay Alert have had a week to take down Starmer and the best they can come up with is owning a…
@Queen_Europe,1.25944E+18,Twitter for iPhone,5/10/2020 10:53,87,598,COVID MEANS COVID
@Queen_Europe,1.25804E+18,Twitter for iPhone,5/6/2020 14:12,19,181,@realDonaldTrump You spelled Armageddon wrong
@Queen_Europe,1.2567E+18,Twitter for iPhone,5/2/2020 21:55,65,427,Everything about this tweet is disgusting. Sad! https://t.co/FqyJeohkrA
@Queen_Europe,1.25584E+18,Twitter for iPhone,4/30/2020 12:58,0,3,@SexCounseling @realDonaldTrump @CNN https://t.co/ibJRsVbCYP
@Queen_Europe,1.24798E+18,Twitter for iPhone,4/8/2020 19:54,74,389,Jesus Christ I’m going back into quarantine https://t.co/WVL6YjpbtE
@Queen_Europe,1.24691E+18,Twitter for iPhone,4/5/2020 20:59,103,873,"Don’t worry about @BorisJohnson folks, I’m still in charge."
@Queen_Europe,1.24688E+18,Twitter for iPhone,4/5/2020 19:10,42,422,Get that Queen a drink #Queen
@Queen_Europe,1.24641E+18,Twitter for iPhone,4/4/2020 12:15,26,193,Happier times https://t.co/nxCqNTKpjW
@Queen_Europe,1.24433E+18,Twitter for iPhone,3/29/2020 18:35,84,411,This is fucking deranged https://t.co/kTzsTp5Ivd
@Queen_Europe,1.2435E+18,Twitter for iPhone,3/27/2020 11:43,126,643,Bloody Johnson always has to go one better doesn’t he. Christ I’m bored. #merkelquarantine
@Queen_Europe,1.24288E+18,Twitter for iPhone,3/25/2020 18:33,50,358,Quarantine Day 3. Kids keep asking me for money. #merkelquarantine #coronabonds
@Queen_Europe,1.24208E+18,Twitter for iPhone,3/23/2020 13:36,49,410,Quarantine Day 1. More boring than smalltalk with Herman Van Rompuy. #merkelquarantine
@Queen_Europe,1.24184E+18,Twitter for iPhone,3/22/2020 21:23,98,607,Should have filled the fucking trolley shouldn’t I #merkelquarantine #wine https://t.co/sfR0A0ZQkp
@Queen_Europe,1.24178E+18,Twitter for iPhone,3/22/2020 17:50,110,712,Fucks sake I’m going to have a lot more time for tweeting #merkelquarantine
@Queen_Europe,1.24171E+18,Twitter for iPhone,3/22/2020 12:43,30,222,Why have the British put a guy who’s good at running referendum campaigns in charge of their response to Coronavirus? Eh?
@Queen_Europe,1.24031E+18,Twitter for iPhone,3/18/2020 16:31,52,234,Writing a letter in the style of a lunatic is certainly an unusual reassurance tactic. https://t.co/JoiKKEZZBZ
@Queen_Europe,1.24004E+18,Twitter for iPhone,3/17/2020 22:06,52,349,Can’t believe I didn’t make a joke about Brexit and self-isolation before this shit stopped being funny
@Queen_Europe,1.23935E+18,Twitter for iPhone,3/16/2020 0:25,34,220,"What
The
Actual
Fuck? https://t.co/1u3HW7uxux"
@Queen_Europe,1.2299E+18,Twitter for iPhone,2/18/2020 22:32,73,354,You signed the withdrawal agreement you f***ing dolts https://t.co/Hf7yYcRW3V
@Queen_Europe,1.2268E+18,Twitter for iPhone,2/10/2020 9:45,66,335,So it turns out my mini-me was too much mini and not enough me.
@Queen_Europe,1.22317E+18,Twitter for iPhone,1/31/2020 9:16,337,1702,"So, the kids are finally leaving home. They’ve messed up the house, called us names and got into fights, but we sti… https://t.co/Pr5xezWJbA"
@Queen_Europe,1.20538E+18,Twitter for iPhone,12/13/2019 6:45,417,1645,"I mean, it’s weird that a country with zero growth would want to spend two years cutting off their closest trading… https://t.co/Fva8kDGemO"
@Queen_Europe,1.20091E+18,Twitter for iPhone,11/30/2019 22:55,118,480,"Exploiting a terrorist attack for political ends, before the dead are buried. Arschloch. https://t.co/F0bf8onZ2k"
@Queen_Europe,1.20073E+18,Twitter for iPhone,11/30/2019 10:55,147,554,"Well said @piersmorgan, I mean what kind of asshole would whip up anger about immigrants just for clicks. https://t.co/t0pnTnwBPe"
@Queen_Europe,1.19971E+18,Twitter for iPhone,11/27/2019 15:02,36,141,Downgraded @BorisJohnson from Prime Minister of Great Britain to lily-livered chicken. #merkelratings https://t.co/pwZapsZ2oW
@Queen_Europe,1.18567E+18,Twitter for iPhone,10/19/2019 21:37,47,292,https://t.co/sE3j2cesh2
@Queen_Europe,1.18473E+18,Twitter for iPhone,10/17/2019 6:57,40,224,Downgraded Brexit from Tough Guy to Fool. #merkelratings
@Queen_Europe,1.17281E+18,Twitter for iPhone,9/14/2019 9:53,28,123,"Brussels, we have a problem https://t.co/EQuhG5Atlj"
@Queen_Europe,1.17004E+18,Twitter for iPhone,9/6/2019 18:33,13,130,#GirlySwotsRule
@Queen_Europe,1.16965E+18,Twitter for iPhone,9/5/2019 16:44,16,141,I think we might have to start showing it on TV at New Year for laughs
@Queen_Europe,1.16965E+18,Twitter for iPhone,9/5/2019 16:40,37,257,This Boris speech thing with the police is absolutely fucking hilarious
@Queen_Europe,1.16747E+18,Twitter for iPhone,8/30/2019 16:02,39,228,"Just send us the detailed, deliverable plan for the Irish border that you’ve been promising for three years, and no… https://t.co/FIoheMH55c"
@Queen_Europe,1.16738E+18,Twitter for iPhone,8/30/2019 10:32,80,372,Why don’t we deal with this via some kind of “common market”? https://t.co/mr8ek6ezKs
@Queen_Europe,1.16594E+18,Twitter for iPhone,8/26/2019 10:54,102,507,"Am I dreaming or is the UK currently arguing about pork pies rather than developing a detailed, costed and delivera… https://t.co/Ihd5mTMx9B"
@Queen_Europe,1.1643E+18,Twitter for iPhone,8/21/2019 21:59,129,688,"When I said you only had 30 days left to sort out the thing you haven’t managed to sort out in over 3 years, I didn… https://t.co/zC0QoMfC1O"
@Queen_Europe,1.16421E+18,Twitter for iPhone,8/21/2019 16:13,50,338,Should I offer to sell @BorisJohnson Greenland?
@Queen_Europe,1.15873E+18,Twitter for iPhone,8/6/2019 13:18,132,557,FOR FUCKS SAKE CAN ONE OF YOU JOURNALISTS ASK THE BRITS WHAT CONCESSIONS THEY ARE OFFERING IN RETURN FOR “REMOVING… https://t.co/erMvzaudBw
@Queen_Europe,1.15506E+18,Twitter for iPhone,7/27/2019 10:37,39,201,“Please do not waste this time” https://t.co/5xvbv9o2kH
@Queen_Europe,1.15404E+18,Twitter for iPhone,7/24/2019 14:55,12,137,This is the worst speech since @JunckerEU tried to read back the #EUCO drinks order three bottles in.
@Queen_Europe,1.15363E+18,Twitter for iPhone,7/23/2019 11:42,193,972,Someone get me another beer
@Queen_Europe,1.15121E+18,Twitter for iPhone,7/16/2019 19:40,353,1476,Is there a bigger self-own than the @brexitparty_uk spending the evening complaining about Frau Ursula winning with 52%? Love those guys.
@Queen_Europe,1.1435E+18,Twitter for iPhone,6/25/2019 12:51,56,413,https://t.co/foxOOSjWGQ
@Queen_Europe,1.1435E+18,Twitter for iPhone,6/25/2019 12:34,31,266,How is it possible to be weirder than @theresa_may
@Queen_Europe,1.1435E+18,Twitter for iPhone,6/25/2019 12:33,525,1289,What the actual fuck https://t.co/6B8hGaFSVI
@Queen_Europe,1.14275E+18,Twitter for iPhone,6/23/2019 11:00,17,143,Your Conservative and DUP colleagues voted not to leave three times. https://t.co/EbXmYwUe7T
@Queen_Europe,1.14213E+18,Twitter for iPhone,6/21/2019 18:18,120,372,"Good luck, United Kingdom. https://t.co/K56yI4RBh5"
@Queen_Europe,1.14065E+18,Twitter for iPhone,6/17/2019 16:10,22,88,"I can think of one way you could keep a British judge on the ECJ, Herr Baker. https://t.co/Pe5D8dlzPT"
@Queen_Europe,1.13629E+18,Twitter for iPhone,6/5/2019 15:00,43,216,Have you ever been to one of those parties where you feel like the odd one out? Can’t quite put my finger on why that happened today.
